,topic,prev_section,next_section,prev_doc_text,next_doc_text,questions,answers,scores
22,machine learning,Hardware,Software,"Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of non-linear hidden units. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI. OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months.","Software suites containing a variety of machine learning algorithms include the following:
",[' What is a suite of software suites containing machine learning algorithms?'],['the following:'],[0.13880803808569908]
23,genetic algorithm,Summary,Summary,"
","In computer science and operations research, a genetic algorithm (GA) is a metaheuristic inspired by the process of natural selection that belongs to the larger class of evolutionary algorithms (EA). Genetic algorithms are commonly used to generate high-quality solutions to optimization and search problems by relying on biologically inspired operators such as mutation, crossover and selection. Some examples of GA applications include optimizing decision trees for better performance, automatically solve sudoku puzzles, hyperparameter optimization, etc.
","[' What is a genetic algorithm inspired by?', ' What is the larger class of evolutionary algorithms?', ' Genetic algorithms are commonly used to generate what?', ' What are some examples of GA applications?', ' What are three examples of biologically inspired operators?']","['the process of natural selection', 'EA', 'high-quality solutions to optimization and search problems', 'optimizing decision trees for better performance, automatically solve sudoku puzzles, hyperparameter optimization', 'mutation, crossover and selection']","[0.700000211596489, 0.8368761241436005, 0.9235862195491791, 0.7813596725463867, 0.04516628570854664]"
24,genetic algorithm,Summary,The building block hypothesis,"In computer science and operations research, a genetic algorithm (GA) is a metaheuristic inspired by the process of natural selection that belongs to the larger class of evolutionary algorithms (EA). Genetic algorithms are commonly used to generate high-quality solutions to optimization and search problems by relying on biologically inspired operators such as mutation, crossover and selection. Some examples of GA applications include optimizing decision trees for better performance, automatically solve sudoku puzzles, hyperparameter optimization, etc.
","Genetic algorithms are simple to implement, but their behavior is difficult to understand. In particular, it is difficult to understand why these algorithms frequently succeed at generating solutions of high fitness when applied to practical problems. The building block hypothesis (BBH) consists of:
","[' Genetic algorithms are simple to implement, but their behavior is what?', ' Genetic algorithms often succeed at generating solutions of high fitness when applied to what kind of problems?', ' What is the building block hypothesis?']","['difficult to understand', 'practical', 'BBH']","[0.9844296276569366, 0.8603508770465851, 0.4515674114227295]"
25,genetic algorithm,The building block hypothesis,The building block hypothesis,"Goldberg describes the heuristic as follows:
","Despite the lack of consensus regarding the validity of the building-block hypothesis, it has been consistently evaluated and used as reference throughout the years. Many estimation of distribution algorithms, for example, have been proposed in an attempt to provide an environment in which the hypothesis would hold. Although good results have been reported for some classes of problems, skepticism concerning the generality and/or practicality of the building-block hypothesis as an explanation for GAs efficiency still remains. Indeed, there is a reasonable amount of work that attempts to understand its limitations from the perspective of estimation of distribution algorithms.","[' What has been consistently evaluated and used as reference throughout the years?', ' Many estimation of distribution algorithms have been proposed in an attempt to provide an environment in which the hypothesis would hold?', ' What has been reported for some classes of problems?', ' What remains skepticism regarding the generality and/or practicality of the building block hypothesis as an explanation for GAs efficiency?', ' What does reasonable amount of work attempt to understand from the perspective of estimation of distribution algorithms?']","['building-block hypothesis', 'building-block hypothesis', 'good results', 'Although good results have been reported for some classes of problems, skepticism concerning the generality and/or practicality of the building-block hypothesis as an explanation for GAs efficiency still remains. Indeed, there is a reasonable amount of work that attempts to understand its limitations from the perspective of estimation of distribution algorithms', 'its limitations']","[0.7613719403743744, 0.12052981555461884, 0.9659111201763153, 0.24952438473701477, 0.7928684055805206]"
26,genetic algorithm,Limitations,Problem domains,"There are limitations of the use of a genetic algorithm compared to alternative optimization algorithms:
","Problems which appear to be particularly appropriate for solution by genetic algorithms include timetabling and scheduling problems, and many scheduling software packages are based on GAs. GAs have also been applied to engineering. Genetic algorithms are often applied as an approach to solve global optimization problems.
","[' What are two problems that are particularly suitable for genetic algorithms?', ' What are many scheduling software packages based on?', ' GAs have also been applied to what?', ' Genetic algorithms are often applied as an approach to solve global optimization problems?']","['timetabling and scheduling problems', 'GAs', 'engineering', 'GAs have also been applied to engineering']","[0.8707312643527985, 0.9714659452438354, 0.9928503036499023, 0.02935763355344534]"
27,genetic algorithm,Problem domains,Problem domains,"Problems which appear to be particularly appropriate for solution by genetic algorithms include timetabling and scheduling problems, and many scheduling software packages are based on GAs. GAs have also been applied to engineering. Genetic algorithms are often applied as an approach to solve global optimization problems.
","As a general rule of thumb genetic algorithms might be useful in problem domains that have a complex fitness landscape as mixing, i.e., mutation in combination with crossover, is designed to move the population away from local optima that a traditional hill climbing algorithm might get stuck in. Observe that commonly used crossover operators cannot change any uniform population. Mutation alone can provide ergodicity of the overall genetic algorithm process (seen as a Markov chain).
","[' Genetic algorithms might be useful in problem domains that have a complex what?', ' Mutation in combination with crossover is designed to move the population away from local optima that a traditional hill climbing algorithm might get stuck in?', ' What type of algorithm might get stuck in?', "" What can't change any uniform population?"", ' Mutation alone can provide what?']","['fitness landscape', 'mixing', 'hill climbing', 'commonly used crossover operators', 'ergodicity']","[0.9796129167079926, 0.08425130695104599, 0.38720375299453735, 0.7380366623401642, 0.8784908354282379]"
28,genetic algorithm,Problem domains,Problem domains,"As a general rule of thumb genetic algorithms might be useful in problem domains that have a complex fitness landscape as mixing, i.e., mutation in combination with crossover, is designed to move the population away from local optima that a traditional hill climbing algorithm might get stuck in. Observe that commonly used crossover operators cannot change any uniform population. Mutation alone can provide ergodicity of the overall genetic algorithm process (seen as a Markov chain).
","Examples of problems solved by genetic algorithms include: mirrors designed to funnel sunlight to a solar collector, antennae designed to pick up radio signals in space, walking methods for computer figures, optimal design of aerodynamic bodies in complex flowfields","[' What are some examples of problems solved by genetic algorithms?', ' What are mirrors designed to funnel sunlight to?', ' How are antennae designed to pick up radio signals in space?']","['mirrors designed to funnel sunlight to a solar collector, antennae designed to pick up radio signals in space, walking methods for computer figures', 'a solar collector', 'mirrors']","[0.6473124325275421, 0.8090282678604126, 0.2493467777967453]"
29,genetic algorithm,Problem domains,Problem domains,"Examples of problems solved by genetic algorithms include: mirrors designed to funnel sunlight to a solar collector, antennae designed to pick up radio signals in space, walking methods for computer figures, optimal design of aerodynamic bodies in complex flowfields","In his Algorithm Design Manual, Skiena advises against genetic algorithms for any task:
","[' In his Algorithm Design Manual, who advises against genetic algorithms for any task?']",['Skiena'],[0.994492918252945]
30,genetic algorithm,Problem domains,Problem domains,"In his Algorithm Design Manual, Skiena advises against genetic algorithms for any task:
","[I]t is quite unnatural to model applications in terms of genetic operators like mutation and crossover on bit strings. The pseudobiology adds another level of complexity between you and your problem. Second, genetic algorithms take a very long time on nontrivial problems. [...] [T]he analogy with evolution—where significant progress require [sic] millions of years—can be quite appropriate.
","[' What is it unnatural to model applications in terms of genetic operators?', ' What adds another level of complexity between you and your problem?', ' Genetic algorithms take a very long time on what?', ' What are nontrivial problems?', ' What is an analogy with evolution?']","['mutation and crossover on bit strings', 'The pseudobiology', 'nontrivial problems', 'genetic algorithms take a very long time', 'significant progress require [sic] millions of years']","[0.31155436486005783, 0.8231284022331238, 0.9822539687156677, 0.5361518114805222, 0.5862746089696884]"
31,genetic algorithm,Problem domains,Problem domains,"[...]
","
I have never encountered any problem where genetic algorithms seemed to me the right way to attack it. Further, I have never seen any computational results reported using genetic algorithms that have favorably impressed me. Stick to simulated annealing for your heuristic search voodoo needs.","[' I have never encountered any problem where genetic algorithms seemed to me the right way to attack it?', ' What has never seen any computational results reported using genetic algorithms that have favorably impressed me?', ' Stick to what for your heuristic search voodoo needs?']","['I have never encountered any problem where genetic algorithms seemed to me the right way to attack it.', 'I', 'simulated annealing']","[0.01622341899201274, 0.12553550116717815, 0.9623545110225677]"
32,genetic algorithm,Problem domains,History,"
I have never encountered any problem where genetic algorithms seemed to me the right way to attack it. Further, I have never seen any computational results reported using genetic algorithms that have favorably impressed me. Stick to simulated annealing for your heuristic search voodoo needs.","In 1950, Alan Turing proposed a ""learning machine"" which would parallel the principles of evolution. Computer simulation of evolution started as early as in 1954 with the work of Nils Aall Barricelli, who was using the computer at the Institute for Advanced Study in Princeton, New Jersey. His 1954 publication was not widely noticed. Starting in 1957, the Australian quantitative geneticist Alex Fraser published a series of papers on simulation of artificial selection of organisms with multiple loci controlling a measurable trait. From these beginnings, computer simulation of evolution by biologists became more common in the early 1960s, and the methods were described in books by Fraser and Burnell (1970) and Crosby (1973). Fraser's simulations included all of the essential elements of modern genetic algorithms. In addition, Hans-Joachim Bremermann published a series of papers in the 1960s that also adopted a population of solution to optimization problems, undergoing recombination, mutation, and selection. Bremermann's research also included the elements of modern genetic algorithms. Other noteworthy early pioneers include Richard Friedberg, George Friedman, and Michael Conrad. Many early papers are reprinted by Fogel (1998).","[' When did Alan Turing propose a ""learning machine""?', ' When did computer simulation of evolution start?', ' Who was using the computer at the Institute for Advanced Study?', ' Where was Alex Fraser born?', ' What year did Alex Fraser publish a series of papers on simulation of artificial selection?', ' When did computer simulations of evolution become more common?', ' Who published a book on computer simulation of evolution?', ' What did Hans-Joachim Bremermann publish?', ' Who published a series of papers in the 1960s that adopted a population of solution to optimization problems?', "" What did Hans-Joachim Bremermann's research include?"", ' Richard Friedberg and George Friedberg are notable early pioneers of what?', ' What are some of the early pioneers of genetic algorithms?', "" Who reprinted many of Fogel's papers?""]","['1950', '1954', 'Nils Aall Barricelli', 'Australian', '1957', 'early 1960s', 'Fraser and Burnell (1970) and Crosby', 'a series of papers in the 1960s that also adopted a population of solution to optimization problems', 'Hans-Joachim Bremermann', 'modern genetic algorithms', 'computer simulation of evolution', 'Richard Friedberg, George Friedman, and Michael Conrad', 'Hans-Joachim Bremermann']","[0.9748186469078064, 0.9603121280670166, 0.9861234426498413, 0.6404178440570831, 0.9799635410308838, 0.7781903743743896, 0.36043016612529755, 0.19927480071783066, 0.960317999124527, 0.6658094823360443, 0.0042025072034448385, 0.8975748419761658, 0.0002964953746413812]"
33,genetic algorithm,History,History,"In 1950, Alan Turing proposed a ""learning machine"" which would parallel the principles of evolution. Computer simulation of evolution started as early as in 1954 with the work of Nils Aall Barricelli, who was using the computer at the Institute for Advanced Study in Princeton, New Jersey. His 1954 publication was not widely noticed. Starting in 1957, the Australian quantitative geneticist Alex Fraser published a series of papers on simulation of artificial selection of organisms with multiple loci controlling a measurable trait. From these beginnings, computer simulation of evolution by biologists became more common in the early 1960s, and the methods were described in books by Fraser and Burnell (1970) and Crosby (1973). Fraser's simulations included all of the essential elements of modern genetic algorithms. In addition, Hans-Joachim Bremermann published a series of papers in the 1960s that also adopted a population of solution to optimization problems, undergoing recombination, mutation, and selection. Bremermann's research also included the elements of modern genetic algorithms. Other noteworthy early pioneers include Richard Friedberg, George Friedman, and Michael Conrad. Many early papers are reprinted by Fogel (1998).","Although Barricelli, in work he reported in 1963, had simulated the evolution of ability to play a simple game, artificial evolution only became a widely recognized optimization method as a result of the work of Ingo Rechenberg and Hans-Paul Schwefel in the 1960s and early 1970s – Rechenberg's group was able to solve complex engineering problems through evolution strategies. Another approach was the evolutionary programming technique of Lawrence J. Fogel, which was proposed for generating artificial intelligence. Evolutionary programming originally used finite state machines for predicting environments, and used variation and selection to optimize the predictive logics. Genetic algorithms in particular became popular through the work of John Holland in the early 1970s, and particularly his book Adaptation in Natural and Artificial Systems (1975). His work originated with studies of cellular automata, conducted by Holland and his students at the University of Michigan. Holland introduced a formalized framework for predicting the quality of the next generation, known as Holland's Schema Theorem. Research in GAs remained largely theoretical until the mid-1980s, when The First International Conference on Genetic Algorithms was held in Pittsburgh, Pennsylvania.
","[' In what year did Barricelli report on the evolution of ability to play a simple game?', ' What was the result of the work of Ingo Rechenberg and Hans-Paul Schwefel in the 1960s and early 1970s?', "" Rechenberg's group was able to solve complex engineering problems through what?"", ' What was the evolutionary programming technique of Lawrence J. Fogel proposed for?', ' Evolutionary programming originally used finite state machines for what purpose?', ' What did finite state machines use for predicting environments?', ' What did variation and selection do to optimize the predictive logics?', ' Who wrote Adaptation in Natural and Artificial Systems?', "" What was the name of Holland's framework for predicting the quality of the next generation?"", ' When did research in GAs remained largely theoretical?', ' Where did Holland and his students study cellular automata?', ' In what year was the First International Conference on Genetic Algorithms held?', ' What was the name of the conference held in Pittsburgh, Pennsylvania?']","['1963', 'artificial evolution only became a widely recognized optimization method', 'evolution strategies', 'generating artificial intelligence', 'predicting environments', 'Evolutionary programming', 'Evolutionary programming', 'John Holland', ""Holland's Schema Theorem"", 'until the mid-1980s', 'University of Michigan', '1980s', 'The First International Conference on Genetic Algorithms']","[0.992954283952713, 0.7325736880302429, 0.9941143691539764, 0.93418288230896, 0.9649873375892639, 0.6660535633563995, 0.4507056623697281, 0.9726984798908234, 0.969608724117279, 0.5807625651359558, 0.8909944891929626, 0.6329462379217148, 0.8056747615337372]"
34,deep learning,Summary,Summary,"Deep learning  (also known as deep structured learning) is part of a broader family of machine learning methods based on artificial neural networks with representation learning. Learning can be supervised, semi-supervised or unsupervised.","Deep-learning architectures such as deep neural networks, deep belief networks, deep reinforcement learning, recurrent neural networks and convolutional neural networks have been applied to fields including computer vision, speech recognition, natural language processing, machine translation, bioinformatics, drug design, medical image analysis, climate science, material inspection and board game programs, where they have produced results comparable to and in some cases surpassing human expert performance.","[' What are some examples of deep-learning architectures?', ' Computer vision, speech recognition, natural language processing, machine translation, bioinformatics, drug design, medical image analysis, material inspection, and board game programs are examples of what?', ' Analyzing, climate science, material inspection, and board game programs have produced results comparable to and in some cases surpassing what?']","['deep neural networks, deep belief networks, deep reinforcement learning, recurrent neural networks and convolutional neural networks', 'Deep-learning architectures', 'human expert performance']","[0.917387068271637, 0.7959222495555878, 0.9617280066013336]"
35,deep learning,Summary,Summary,"Deep-learning architectures such as deep neural networks, deep belief networks, deep reinforcement learning, recurrent neural networks and convolutional neural networks have been applied to fields including computer vision, speech recognition, natural language processing, machine translation, bioinformatics, drug design, medical image analysis, climate science, material inspection and board game programs, where they have produced results comparable to and in some cases surpassing human expert performance.","Artificial neural networks (ANNs) were inspired by information processing and distributed communication nodes in biological systems. ANNs have various differences from biological brains.  Specifically, artificial neural networks tend to be static and symbolic, while the biological brain of most living organisms is dynamic (plastic) and analogue.","[' ANNs were inspired by what?', ' What are artificial neural networks inspired by?', ' Artificial neural networks tend to be static and symbolic, while what is the biological brain of most living organisms?']","['information processing and distributed communication nodes in biological systems', 'information processing and distributed communication nodes in biological systems', 'dynamic (plastic) and analogue']","[0.7565768659114838, 0.7798624932765961, 0.667795717716217]"
36,deep learning,Summary,Summary,"Artificial neural networks (ANNs) were inspired by information processing and distributed communication nodes in biological systems. ANNs have various differences from biological brains.  Specifically, artificial neural networks tend to be static and symbolic, while the biological brain of most living organisms is dynamic (plastic) and analogue.","The adjective ""deep"" in deep learning refers to the use of multiple layers in the network. Early work showed that a linear perceptron cannot be a universal classifier, but that a network with a nonpolynomial activation function with one hidden layer of unbounded width can. Deep learning is a modern variation which is concerned with an unbounded number of layers of bounded size, which permits practical application and optimized implementation, while retaining theoretical universality under mild conditions. In deep learning the layers are also permitted to be heterogeneous and to deviate widely from biologically informed connectionist models, for the sake of efficiency, trainability and understandability, whence the ""structured"" part.
","[' What does the adjective ""deep"" in deep learning refer to?', ' Early work showed that a linear perceptron cannot be a universal classifier, but a network with a nonpolynomial activation function with one hidden layer of unbounded width can be what?', ' What is a modern variation of deep learning concerned with an unbounded number of layers of bounded size?', ' What permits practical application and optimized implementation while retaining theoretical universality under mild conditions?', ' Why are layers allowed to be heterogeneous and deviate widely from connectionist models?', ' What is the ""structured"" part?']","['the use of multiple layers in the network', 'can', 'Deep learning', 'Deep learning is a modern variation which is concerned with an unbounded number of layers of bounded size', 'for the sake of efficiency, trainability and understandability', 'efficiency, trainability and understandability']","[0.76544588804245, 0.3848638981580734, 0.9168830811977386, 0.6139897704124451, 0.5956766456365585, 0.38602033257484436]"
37,deep learning,Summary,Definition,"The adjective ""deep"" in deep learning refers to the use of multiple layers in the network. Early work showed that a linear perceptron cannot be a universal classifier, but that a network with a nonpolynomial activation function with one hidden layer of unbounded width can. Deep learning is a modern variation which is concerned with an unbounded number of layers of bounded size, which permits practical application and optimized implementation, while retaining theoretical universality under mild conditions. In deep learning the layers are also permitted to be heterogeneous and to deviate widely from biologically informed connectionist models, for the sake of efficiency, trainability and understandability, whence the ""structured"" part.
","Deep learning is a class of machine learning algorithms that: 199–200  uses multiple layers to progressively extract higher-level features from the raw input. For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits or letters or faces.
","[' What class of machine learning algorithms uses multiple layers to extract higher-level features from raw input?', ' In image processing, what may lower layers identify?', ' What may higher layers identify the concepts relevant to a human?']","['Deep learning', 'edges', 'digits or letters or faces']","[0.9888663589954376, 0.9591290950775146, 0.07189087383449078]"
38,deep learning,Definition,Overview,"Deep learning is a class of machine learning algorithms that: 199–200  uses multiple layers to progressively extract higher-level features from the raw input. For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits or letters or faces.
","Most modern deep learning models are based on artificial neural networks, specifically convolutional neural networks (CNN)s, although they can also include propositional formulas or latent variables organized layer-wise in deep generative models such as the nodes in deep belief networks and deep Boltzmann machines.","[' What are the most modern deep learning models based on?', ' What are convolutional neural networks?']","['artificial neural networks', 'CNN)']","[0.9300933480262756, 0.6120887398719788]"
39,deep learning,Overview,Overview,"Most modern deep learning models are based on artificial neural networks, specifically convolutional neural networks (CNN)s, although they can also include propositional formulas or latent variables organized layer-wise in deep generative models such as the nodes in deep belief networks and deep Boltzmann machines.","In deep learning, each level learns to transform its input data into a slightly more abstract and composite representation. In an image recognition application, the raw input may be a matrix of pixels; the first representational layer may abstract the pixels and encode edges; the second layer may compose and encode arrangements of edges; the third layer may encode a nose and eyes; and the fourth layer may recognize that the image contains a face. Importantly, a deep learning process can learn which features to optimally place in which level on its own. This does not eliminate the need for hand-tuning; for example, varying numbers of layers and layer sizes can provide different degrees of abstraction.","[' In deep learning, each level learns to transform its input data into what?', ' In an image recognition application, the raw input may be a matrix of pixels?', ' The first representational layer may abstract the pixels and encode edges.', ' The second layer may compose and what else?', ' What can a deep learning process learn?', ' What may the second layer encode?', ' The third layer may encode what?', ' What can learn which features to optimally place in a level on its own?', ' What does not eliminate the need for hand-tuning?']","['a slightly more abstract and composite representation', 'deep learning', 'image recognition application', 'encode arrangements of edges', 'which features to optimally place in which level on its own', 'arrangements of edges', 'a nose and eyes', 'a deep learning process', 'a deep learning process can learn which features to optimally place in which level on its own']","[0.8094223737716675, 0.05395397171378136, 0.007706556702032685, 0.901647537946701, 0.7672940492630005, 0.9180589914321899, 0.8980529010295868, 0.6979733556509018, 0.512240469455719]"
40,deep learning,Overview,Overview,"In deep learning, each level learns to transform its input data into a slightly more abstract and composite representation. In an image recognition application, the raw input may be a matrix of pixels; the first representational layer may abstract the pixels and encode edges; the second layer may compose and encode arrangements of edges; the third layer may encode a nose and eyes; and the fourth layer may recognize that the image contains a face. Importantly, a deep learning process can learn which features to optimally place in which level on its own. This does not eliminate the need for hand-tuning; for example, varying numbers of layers and layer sizes can provide different degrees of abstraction.","The word ""deep"" in ""deep learning"" refers to the number of layers through which the data is transformed. More precisely, deep learning systems have a substantial credit assignment path (CAP) depth. The CAP is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For a feedforward neural network, the depth of the CAPs is that of the network and is the number of hidden layers plus one (as the output layer is also parameterized). For recurrent neural networks, in which a signal may propagate through a layer more than once, the CAP depth is potentially unlimited. No universally agreed-upon threshold of depth divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function. Beyond that, more layers do not add to the function approximator ability of the network. Deep models (CAP > 2) are able to extract better features than shallow models and hence, extra layers help in learning the features effectively.
","[' What does the word ""deep"" in deep learning refer to?', ' Deep learning systems have what?', ' What is the chain of transformations from input to output called?', ' What describe potentially causal connections between input and output?', ' What describes the depth of the CAPs?', ' For a feedforward neural network, the depth is that of the network and the number of hidden layers plus one?', ' What is the CAP depth for recurrent neural networks?', ' What does no universal agreed-upon threshold of depth divide shallow learning from deep learning?', ' Most researchers agree that deep learning involves what depth higher than 2?', ' Deep learning involves CAP depth higher than what?', ' CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function in what sense?', ' Deep models (CAP > 2) do not add to what ability of the network?', ' What is the approximator ability of the network?', ' Deep models (CAP > 2) are able to extract better features than what?']","['the number of layers through which the data is transformed', 'a substantial credit assignment path (CAP) depth', 'CAP', 'CAPs', 'the number of hidden layers plus one', 'depth of the CAPs', 'unlimited', 'CAP depth higher than 2', 'CAP', '2', 'CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function. Beyond that, more layers do not add to the function approximator ability of the network', 'function approximator ability', 'function', 'shallow models']","[0.8013119399547577, 0.6856270134449005, 0.709704577922821, 0.9805121421813965, 0.5188833177089691, 0.16111478954553604, 0.7003763616085052, 0.046516191214323044, 0.8306930065155029, 0.9560598731040955, 0.11625947430729866, 0.018502330407500267, 0.013177889864891768, 0.9868334829807281]"
41,deep learning,Overview,Overview,"The word ""deep"" in ""deep learning"" refers to the number of layers through which the data is transformed. More precisely, deep learning systems have a substantial credit assignment path (CAP) depth. The CAP is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For a feedforward neural network, the depth of the CAPs is that of the network and is the number of hidden layers plus one (as the output layer is also parameterized). For recurrent neural networks, in which a signal may propagate through a layer more than once, the CAP depth is potentially unlimited. No universally agreed-upon threshold of depth divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function. Beyond that, more layers do not add to the function approximator ability of the network. Deep models (CAP > 2) are able to extract better features than shallow models and hence, extra layers help in learning the features effectively.
",Deep learning architectures can be constructed with a greedy layer-by-layer method. Deep learning helps to disentangle these abstractions and pick out which features improve performance.,"[' What can be constructed with a greedy layer-by-layer method?', ' Deep learning helps to disentangle these abstractions and pick which features improve performance?']","['Deep learning architectures', 'Deep learning architectures']","[0.9898800849914551, 0.30175866186618805]"
42,deep learning,Overview,Overview,Deep learning architectures can be constructed with a greedy layer-by-layer method. Deep learning helps to disentangle these abstractions and pick out which features improve performance.,"For supervised learning tasks, deep learning methods eliminate feature engineering, by translating the data into compact intermediate representations akin to principal components, and derive layered structures that remove redundancy in representation.
","[' Deep learning methods eliminate feature engineering by translating data into what?', ' Deep Learning methods derive what to remove redundancy in representation?']","['compact intermediate representations', 'layered structures']","[0.9316510260105133, 0.994432270526886]"
43,deep learning,Overview,Overview,"For supervised learning tasks, deep learning methods eliminate feature engineering, by translating the data into compact intermediate representations akin to principal components, and derive layered structures that remove redundancy in representation.
",Deep learning algorithms can be applied to unsupervised learning tasks. This is an important benefit because unlabeled data are more abundant than the labeled data. Examples of deep structures that can be trained in an unsupervised manner are neural history compressors and deep belief networks.,"[' Deep learning algorithms can be applied to what kind of learning tasks?', ' Unlabeled data are more abundant than what type of data?', ' Deep structures that can be trained in an unsupervised manner are what?']","['unsupervised', 'labeled', 'neural history compressors and deep belief networks']","[0.8985009789466858, 0.5272742658853531, 0.8836279213428497]"
44,deep learning,Overview,Interpretations,Deep learning algorithms can be applied to unsupervised learning tasks. This is an important benefit because unlabeled data are more abundant than the labeled data. Examples of deep structures that can be trained in an unsupervised manner are neural history compressors and deep belief networks.,Deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.,"[' What are deep neural networks generally interpreted in terms of?', ' What is the universal approximation theorem?']","['the universal approximation theorem or probabilistic inference', 'probabilistic inference']","[0.7719456851482391, 0.5677830278873444]"
45,deep learning,Interpretations,Interpretations,Deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.,"The classic universal approximation theorem concerns the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions. In 1989, the first proof was published by George Cybenko for sigmoid activation functions and was generalised to feed-forward multi-layer architectures in 1991 by Kurt Hornik. Recent work also showed that universal approximation also holds for non-bounded activation functions such as the rectified linear unit.","[' What is the classic universal approximation theorem concerned with?', ' Who published the first proof for sigmoid activation functions in 1989?', ' What was generalised to feed forward multi-layer architectures in 1991 by Kurt Hornik?', ' In what year was universal approximation generalised to feed-forward multi-layer architectures?', ' What did Kurt Hornik generalise in 1991?']","['the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions', 'George Cybenko', 'the first proof was published by George Cybenko for sigmoid activation functions', '1991', 'feed-forward multi-layer architectures']","[0.48980817198753357, 0.9967271983623505, 0.31708499044179916, 0.934106320142746, 0.8700418472290039]"
46,deep learning,Interpretations,Interpretations,"The classic universal approximation theorem concerns the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions. In 1989, the first proof was published by George Cybenko for sigmoid activation functions and was generalised to feed-forward multi-layer architectures in 1991 by Kurt Hornik. Recent work also showed that universal approximation also holds for non-bounded activation functions such as the rectified linear unit.","The universal approximation theorem for deep neural networks concerns the capacity of networks with bounded width but the depth is allowed to grow. Lu et al. proved that if the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can approximate any Lebesgue integrable function; If the width is smaller or equal to the input dimension, then a deep neural network is not a universal approximator.
","[' What is the universal approximation theorem for deep neural networks concerned with?', ' What is allowed to grow in networks with bounded width?', ' Lu et al. proved that if the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can what?', ' If the width is smaller or equal to the input dimension, then a deep neural network is not a universal approximator.', ' If the network is strictly larger than what, then it can approximate any Lebesgue integrable function?']","['the capacity of networks with bounded width but the depth is allowed to grow', 'the depth', 'approximate any Lebesgue integrable function', 'Lu', 'input dimension']","[0.6436867415904999, 0.6474602967500687, 0.88631272315979, 0.07757654041051865, 0.6871012449264526]"
47,deep learning,Interpretations,Interpretations,"The universal approximation theorem for deep neural networks concerns the capacity of networks with bounded width but the depth is allowed to grow. Lu et al. proved that if the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can approximate any Lebesgue integrable function; If the width is smaller or equal to the input dimension, then a deep neural network is not a universal approximator.
","The probabilistic interpretation derives from the field of machine learning. It features inference, as well as the optimization concepts of training and testing, related to fitting and generalization, respectively. More specifically, the probabilistic interpretation considers the activation nonlinearity as a cumulative distribution function. The probabilistic interpretation led to the introduction of dropout as regularizer in neural networks. The probabilistic interpretation was introduced by researchers including Hopfield, Widrow and Narendra and popularized in surveys such as the one by Bishop.","[' What field does the probabilistic interpretation originate from?', ' What are the optimization concepts of training and testing related to?', ' The activation nonlinearity is considered as what?', ' What led to the introduction of dropout as regularizer in neural networks?', ' Who introduced the probabilistic interpretation?']","['machine learning', 'fitting and generalization', 'a cumulative distribution function', 'probabilistic interpretation', 'Hopfield, Widrow and Narendra']","[0.9594931304454803, 0.957921028137207, 0.7297438383102417, 0.5949399769306183, 0.9235400557518005]"
48,deep learning,Interpretations,History,"The probabilistic interpretation derives from the field of machine learning. It features inference, as well as the optimization concepts of training and testing, related to fitting and generalization, respectively. More specifically, the probabilistic interpretation considers the activation nonlinearity as a cumulative distribution function. The probabilistic interpretation led to the introduction of dropout as regularizer in neural networks. The probabilistic interpretation was introduced by researchers including Hopfield, Widrow and Narendra and popularized in surveys such as the one by Bishop.","Some sources point out that Frank Rosenblatt developed and explored all of the basic ingredients of the deep learning systems of today. He described it in his book ""Principles of Neurodynamics: Perceptrons and the Theory of Brain Mechanisms"", published by Cornell Aeronautical Laboratory, Inc., Cornell University in 1962.
","[' Who wrote ""Principles of Neurodynamics: Perceptrons and the Theory of Brain Mechanisms""?', ' In what year did Frank Rosenblatt publish his book?']","['Frank Rosenblatt', '1962']","[0.9945965111255646, 0.9897695183753967]"
