,topic,section,full_text,prefix,suffix,questions,answers,scores
26,genetic algorithm,History,"In 1950, Alan Turing proposed a ""learning machine"" which would parallel the principles of evolution. Computer simulation of evolution started as early as in 1954 with the work of Nils Aall Barricelli, who was using the computer at the Institute for Advanced Study in Princeton, New Jersey. His 1954 publication was not widely noticed. Starting in 1957, the Australian quantitative geneticist Alex Fraser published a series of papers on simulation of artificial selection of organisms with multiple loci controlling a measurable trait. From these beginnings, computer simulation of evolution by biologists became more common in the early 1960s, and the methods were described in books by Fraser and Burnell (1970) and Crosby (1973). Fraser's simulations included all of the essential elements of modern genetic algorithms. In addition, Hans-Joachim Bremermann published a series of papers in the 1960s that also adopted a population of solution to optimization problems, undergoing recombination, mutation, and selection. Bremermann's research also included the elements of modern genetic algorithms. Other noteworthy early pioneers include Richard Friedberg, George Friedman, and Michael Conrad. Many early papers are reprinted by Fogel (1998).","In 1950, Alan Turing proposed a ""learning machine"" which would parallel the principles of evolution. Computer simulation of evolution started as early as in 1954 with the work of Nils Aall Barricelli, who was using the computer at the Institute for Advanced Study in Princeton, New Jersey.","His 1954 publication was not widely noticed. Starting in 1957, the Australian quantitative geneticist Alex Fraser published a series of papers on simulation of artificial selection of organisms with multiple loci controlling a measurable trait. From these beginnings, computer simulation of evolution by biologists became more common in the early 1960s, and the methods were described in books by Fraser and Burnell (1970) and Crosby (1973). Fraser's simulations included all of the essential elements of modern genetic algorithms. In addition, Hans-Joachim Bremermann published a series of papers in the 1960s that also adopted a population of solution to optimization problems, undergoing recombination, mutation, and selection. Bremermann's research also included the elements of modern genetic algorithms. Other noteworthy early pioneers include Richard Friedberg, George Friedman, and Michael Conrad. Many early papers are reprinted by Fogel (1998).","[' What year did Alex Fraser publish a series of papers on simulation of artificial selection of organisms with multiple loci controlling a measurable trait?', ' Computer simulation of evolution by biologists became more common in the early years of what?', ' When did biologists become more common?', ' Who published a series of papers in the 1960s?', ' What did Hans-Joachim Bremermann publish?', ' Hans-Joachim Bremermann published a series of papers in what decade?', "" What did Bremerman's research include?"", ' Richard Friedberg, George Friedman, and Michael Conrad are notable early pioneers of what?', ' Richard Friedberg, George Friedman, and Michael Conrad.', ' Fogel reprinted many early papers in what year?']","['1957', '1960s', 'early 1960s', 'Hans-Joachim Bremermann', 'a series of papers in the 1960s that also adopted a population of solution to optimization problems', '1960s', 'the elements of modern genetic algorithms', 'modern genetic algorithms', 'early pioneers', '1998']","[0.9931770265102386, 0.7424228191375732, 0.5824522376060486, 0.9416245520114899, 0.1291828490793705, 0.8443979322910309, 0.6799626052379608, 0.06632784754037857, 0.001264191057998687, 0.9594751298427582]"
27,genetic algorithm,History,"Although Barricelli, in work he reported in 1963, had simulated the evolution of ability to play a simple game, artificial evolution only became a widely recognized optimization method as a result of the work of Ingo Rechenberg and Hans-Paul Schwefel in the 1960s and early 1970s – Rechenberg's group was able to solve complex engineering problems through evolution strategies. Another approach was the evolutionary programming technique of Lawrence J. Fogel, which was proposed for generating artificial intelligence. Evolutionary programming originally used finite state machines for predicting environments, and used variation and selection to optimize the predictive logics. Genetic algorithms in particular became popular through the work of John Holland in the early 1970s, and particularly his book Adaptation in Natural and Artificial Systems (1975). His work originated with studies of cellular automata, conducted by Holland and his students at the University of Michigan. Holland introduced a formalized framework for predicting the quality of the next generation, known as Holland's Schema Theorem. Research in GAs remained largely theoretical until the mid-1980s, when The First International Conference on Genetic Algorithms was held in Pittsburgh, Pennsylvania.
","Although Barricelli, in work he reported in 1963, had simulated the evolution of ability to play a simple game, artificial evolution only became a widely recognized optimization method as a result of the work of Ingo Rechenberg and Hans-Paul Schwefel in the 1960s and early 1970s – Rechenberg's group was able to solve complex engineering problems through evolution strategies. Another approach was the evolutionary programming technique of Lawrence J. Fogel, which was proposed for generating artificial intelligence.","Evolutionary programming originally used finite state machines for predicting environments, and used variation and selection to optimize the predictive logics. Genetic algorithms in particular became popular through the work of John Holland in the early 1970s, and particularly his book Adaptation in Natural and Artificial Systems (1975). His work originated with studies of cellular automata, conducted by Holland and his students at the University of Michigan. Holland introduced a formalized framework for predicting the quality of the next generation, known as Holland's Schema Theorem. Research in GAs remained largely theoretical until the mid-1980s, when The First International Conference on Genetic Algorithms was held in Pittsburgh, Pennsylvania.","[' What did evolutionary programming originally use for predicting environments?', ' What did variation and selection do to optimize the predictive logics?', ' Who wrote Adaptation in Natural and Artificial Systems?', ' In what year was Adaptation in Natural and Artificial Systems published?', ' What was the name of the formal framework for predicting the quality of the next generation introduced by Holland?', ' How did research in GAs remain?', "" What is Holland's Schema Theorem?"", ' When was the First International Conference on Genetic Algorithms held?']","['finite state machines', 'Evolutionary programming', 'John Holland', '1975', ""Holland's Schema Theorem"", 'largely theoretical', 'formalized framework for predicting the quality of the next generation', 'mid-1980s']","[0.9955473244190216, 0.21714797616004944, 0.9731382429599762, 0.992934376001358, 0.9693865478038788, 0.6426965445280075, 0.5908822417259216, 0.6013288646936417]"
28,classification,Summary,"Classification is a process related to categorization, the process in which ideas and objects are recognized, differentiated and understood. 
Classification is the grouping of related facts into classes. 
It may also refer to:
","Classification is a process related to categorization, the process in which ideas and objects are recognized, differentiated and understood. Classification is the grouping of related facts into classes.",It may also refer to:,"[' What does it refer to?', ' What is another name for it?']","[':', 'It may also refer to:']","[0.012063443486113101, 0.0030379142554011196]"
29,deep learning,Summary,"Artificial neural networks (ANNs) were inspired by information processing and distributed communication nodes in biological systems. ANNs have various differences from biological brains.  Specifically, artificial neural networks tend to be static and symbolic, while the biological brain of most living organisms is dynamic (plastic) and analogue.",Artificial neural networks (ANNs) were inspired by information processing and distributed communication nodes in biological systems. ANNs have various differences from biological brains.,"Specifically, artificial neural networks tend to be static and symbolic, while the biological brain of most living organisms is dynamic (plastic) and analogue.","[' Artificial neural networks tend to be what?', ' What is the biological brain of most living organisms?']","['static and symbolic', 'dynamic (plastic) and analogue']","[0.98497074842453, 0.8937408626079559]"
30,deep learning,Summary,"The adjective ""deep"" in deep learning refers to the use of multiple layers in the network. Early work showed that a linear perceptron cannot be a universal classifier, but that a network with a nonpolynomial activation function with one hidden layer of unbounded width can. Deep learning is a modern variation which is concerned with an unbounded number of layers of bounded size, which permits practical application and optimized implementation, while retaining theoretical universality under mild conditions. In deep learning the layers are also permitted to be heterogeneous and to deviate widely from biologically informed connectionist models, for the sake of efficiency, trainability and understandability, whence the ""structured"" part.
","The adjective ""deep"" in deep learning refers to the use of multiple layers in the network. Early work showed that a linear perceptron cannot be a universal classifier, but that a network with a nonpolynomial activation function with one hidden layer of unbounded width can.","Deep learning is a modern variation which is concerned with an unbounded number of layers of bounded size, which permits practical application and optimized implementation, while retaining theoretical universality under mild conditions. In deep learning the layers are also permitted to be heterogeneous and to deviate widely from biologically informed connectionist models, for the sake of efficiency, trainability and understandability, whence the ""structured"" part.","[' Deep learning is concerned with an unbounded number of layers of what size?', ' Deep learning permits practical application and optimized implementation under what conditions?', ' In deep learning layers are permitted to be what?', ' To be heterogeneous and to deviate widely from biologically informed connectionist models, for the sake of efficiency, trainability and understandability, what is the ""structured"" part?']","['bounded', 'mild', 'heterogeneous', 'Deep learning']","[0.7629088163375854, 0.7245811820030212, 0.9868050515651703, 0.36595703661441803]"
31,deep learning,Overview,"In deep learning, each level learns to transform its input data into a slightly more abstract and composite representation. In an image recognition application, the raw input may be a matrix of pixels; the first representational layer may abstract the pixels and encode edges; the second layer may compose and encode arrangements of edges; the third layer may encode a nose and eyes; and the fourth layer may recognize that the image contains a face. Importantly, a deep learning process can learn which features to optimally place in which level on its own. This does not eliminate the need for hand-tuning; for example, varying numbers of layers and layer sizes can provide different degrees of abstraction.","In deep learning, each level learns to transform its input data into a slightly more abstract and composite representation. In an image recognition application, the raw input may be a matrix of pixels; the first representational layer may abstract the pixels and encode edges; the second layer may compose and encode arrangements of edges; the third layer may encode a nose and eyes; and the fourth layer may recognize that the image contains a face.","Importantly, a deep learning process can learn which features to optimally place in which level on its own. This does not eliminate the need for hand-tuning; for example, varying numbers of layers and layer sizes can provide different degrees of abstraction.","[' What can a deep learning process learn on its own?', ' What does not eliminate the need for hand-tuning?', ' Various numbers of layers and what can provide different degrees of abstraction?']","['which features to optimally place in which level', 'a deep learning process can learn which features to optimally place in which level on its own', 'layer sizes']","[0.8525896668434143, 0.46509118378162384, 0.13695607334375381]"
32,deep learning,Overview,"The word ""deep"" in ""deep learning"" refers to the number of layers through which the data is transformed. More precisely, deep learning systems have a substantial credit assignment path (CAP) depth. The CAP is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For a feedforward neural network, the depth of the CAPs is that of the network and is the number of hidden layers plus one (as the output layer is also parameterized). For recurrent neural networks, in which a signal may propagate through a layer more than once, the CAP depth is potentially unlimited. No universally agreed-upon threshold of depth divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function. Beyond that, more layers do not add to the function approximator ability of the network. Deep models (CAP > 2) are able to extract better features than shallow models and hence, extra layers help in learning the features effectively.
","The word ""deep"" in ""deep learning"" refers to the number of layers through which the data is transformed. More precisely, deep learning systems have a substantial credit assignment path (CAP) depth.","The CAP is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For a feedforward neural network, the depth of the CAPs is that of the network and is the number of hidden layers plus one (as the output layer is also parameterized). For recurrent neural networks, in which a signal may propagate through a layer more than once, the CAP depth is potentially unlimited. No universally agreed-upon threshold of depth divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function. Beyond that, more layers do not add to the function approximator ability of the network. Deep models (CAP > 2) are able to extract better features than shallow models and hence, extra layers help in learning the features effectively.","[' What is the chain of transformations from input to output called?', ' What describe potentially causal connections between input and output?', ' For a feedforward neural network, what is the depth of the CAPs?', ' How many hidden layers plus one?', ' What is the CAP depth for recurrent neural networks?', ' How many layers can a signal propagate through a layer multiple times?', ' How deep learning differs from shallow learning?', ' What does deep learning involve?', ' CAP of depth 2 has been shown to be what?', ' What does more layers not add to the function approximator ability of the network?', ' Deep models (CAP > 2) are able to extract better features than what?']","['CAP', 'CAPs', 'that of the network', 'number', 'potentially unlimited', 'unlimited', 'No universally agreed-upon threshold of depth', 'CAP depth higher than 2', 'a universal approximator', 'CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function. Beyond that, more layers do not add to the function approximator ability of the network. Deep models', 'shallow models']","[0.7621026337146759, 0.9924413561820984, 0.7630040347576141, 0.02704060822725296, 0.7057681232690811, 0.08458741754293442, 0.2987724542617798, 0.8587840795516968, 0.7571941018104553, 0.017588227055966854, 0.9845839440822601]"
33,deep learning,Overview,Deep learning algorithms can be applied to unsupervised learning tasks. This is an important benefit because unlabeled data are more abundant than the labeled data. Examples of deep structures that can be trained in an unsupervised manner are neural history compressors and deep belief networks.,Deep learning algorithms can be applied to unsupervised learning tasks. This is an important benefit because unlabeled data are more abundant than the labeled data.,Examples of deep structures that can be trained in an unsupervised manner are neural history compressors and deep belief networks.,[' What are two examples of deep structures that can be trained in an unsupervised manner?'],['neural history compressors and deep belief networks'],[0.9672127664089203]
34,deep learning,Interpretations,"The classic universal approximation theorem concerns the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions. In 1989, the first proof was published by George Cybenko for sigmoid activation functions and was generalised to feed-forward multi-layer architectures in 1991 by Kurt Hornik. Recent work also showed that universal approximation also holds for non-bounded activation functions such as the rectified linear unit.","The classic universal approximation theorem concerns the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions. In 1989, the first proof was published by George Cybenko for sigmoid activation functions and was generalised to feed-forward multi-layer architectures in 1991 by Kurt Hornik.",Recent work also showed that universal approximation also holds for non-bounded activation functions such as the rectified linear unit.,[' What does universal approximation hold for non-bounded activation functions like the rectified linear unit?'],['universal'],[0.0531459990888834]
35,deep learning,Interpretations,"The universal approximation theorem for deep neural networks concerns the capacity of networks with bounded width but the depth is allowed to grow. Lu et al. proved that if the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can approximate any Lebesgue integrable function; If the width is smaller or equal to the input dimension, then a deep neural network is not a universal approximator.
",The universal approximation theorem for deep neural networks concerns the capacity of networks with bounded width but the depth is allowed to grow. Lu et al.,"proved that if the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can approximate any Lebesgue integrable function; If the width is smaller or equal to the input dimension, then a deep neural network is not a universal approximator.","[' If the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can approximate any Lebesgue integrable function.', ' What is not a universal approximator?']","['proved that if the width of a deep neural network with ReLU activation is strictly larger than the input dimension, then the network can approximate any Lebesgue integrable function; If the width is smaller or equal to the input dimension, then a deep neural network is not a universal approximator', 'deep neural network']","[0.012293063569813967, 0.6538759171962738]"
36,deep learning,Interpretations,"The probabilistic interpretation derives from the field of machine learning. It features inference, as well as the optimization concepts of training and testing, related to fitting and generalization, respectively. More specifically, the probabilistic interpretation considers the activation nonlinearity as a cumulative distribution function. The probabilistic interpretation led to the introduction of dropout as regularizer in neural networks. The probabilistic interpretation was introduced by researchers including Hopfield, Widrow and Narendra and popularized in surveys such as the one by Bishop.","The probabilistic interpretation derives from the field of machine learning. It features inference, as well as the optimization concepts of training and testing, related to fitting and generalization, respectively.","More specifically, the probabilistic interpretation considers the activation nonlinearity as a cumulative distribution function. The probabilistic interpretation led to the introduction of dropout as regularizer in neural networks. The probabilistic interpretation was introduced by researchers including Hopfield, Widrow and Narendra and popularized in surveys such as the one by Bishop.","[' What does the probabilistic interpretation consider the activation nonlinearity as?', ' What led to the introduction of dropout as regularizer in neural networks?', ' Who introduced the probabilityistic interpretation?']","['a cumulative distribution function', 'probabilistic interpretation', 'Hopfield, Widrow and Narendra']","[0.8551572561264038, 0.5678679496049881, 0.005553317489102483]"
37,deep learning,History,"The first general, working learning algorithm for supervised, deep, feedforward, multilayer perceptrons was published by Alexey Ivakhnenko and Lapa in 1967. A 1971 paper described a deep network with eight layers trained by the group method of data handling. Other deep learning working architectures, specifically those built for computer vision, began with the Neocognitron introduced by Kunihiko Fukushima in 1980.","The first general, working learning algorithm for supervised, deep, feedforward, multilayer perceptrons was published by Alexey Ivakhnenko and Lapa in 1967. A 1971 paper described a deep network with eight layers trained by the group method of data handling.","Other deep learning working architectures, specifically those built for computer vision, began with the Neocognitron introduced by Kunihiko Fukushima in 1980.","[' What did Kunihiko Fukushima introduce in 1980?', ' What was the Neocognitron?']","['Neocognitron', 'deep learning working architectures']","[0.820796936750412, 0.6201522052288055]"
38,deep learning,History,"In 1989, Yann LeCun et al. applied the standard backpropagation algorithm, which had been around as the reverse mode of automatic differentiation since 1970, to a deep neural network with the purpose of recognizing handwritten ZIP codes on mail. While the algorithm worked, training required 3 days.","In 1989, Yann LeCun et al. applied the standard backpropagation algorithm, which had been around as the reverse mode of automatic differentiation since 1970, to a deep neural network with the purpose of recognizing handwritten ZIP codes on mail.","While the algorithm worked, training required 3 days.",[' How long did it take to train the algorithm?'],['3 days'],[0.9575519263744354]
39,deep learning,History,"Both shallow and deep learning (e.g., recurrent nets) of ANNs have been explored for many years. These methods never outperformed non-uniform internal-handcrafting Gaussian mixture model/Hidden Markov model (GMM-HMM) technology based on generative models of speech trained discriminatively. Key difficulties have been analyzed, including gradient diminishing and weak temporal correlation structure in neural predictive models. Additional difficulties were the lack of training data and limited computing power.
","Both shallow and deep learning (e.g., recurrent nets) of ANNs have been explored for many years. These methods never outperformed non-uniform internal-handcrafting Gaussian mixture model/Hidden Markov model (GMM-HMM) technology based on generative models of speech trained discriminatively.","Key difficulties have been analyzed, including gradient diminishing and weak temporal correlation structure in neural predictive models. Additional difficulties were the lack of training data and limited computing power.","[' Key difficulties have been analyzed, including what?', ' Other difficulties were the lack of training data and limited computing power?']","['gradient diminishing and weak temporal correlation structure in neural predictive models', 'gradient diminishing and weak temporal correlation structure in neural predictive models']","[0.7644780278205872, 0.04171569272875786]"
40,deep learning,History,"Most speech recognition researchers moved away from neural nets to pursue generative modeling. An exception was at SRI International in the late 1990s. Funded by the US government's NSA and DARPA, SRI studied deep neural networks in speech and speaker recognition. The speaker recognition team led by Larry Heck reported significant success with deep neural networks in speech processing in the 1998 National Institute of Standards and Technology Speaker Recognition evaluation. The SRI deep neural network was then deployed in the Nuance Verifier, representing the first major industrial application of deep learning.",Most speech recognition researchers moved away from neural nets to pursue generative modeling. An exception was at SRI International in the late 1990s.,"Funded by the US government's NSA and DARPA, SRI studied deep neural networks in speech and speaker recognition. The speaker recognition team led by Larry Heck reported significant success with deep neural networks in speech processing in the 1998 National Institute of Standards and Technology Speaker Recognition evaluation. The SRI deep neural network was then deployed in the Nuance Verifier, representing the first major industrial application of deep learning.","[' Who funded the SRI?', ' Who led the speaker recognition team?', ' What did Larry Heck report in 1998?', ' What did the Institute of Standards and Technology evaluate?', ' What was the first industrial application of deep learning?']","['NSA and DARPA', 'Larry Heck', 'significant success with deep neural networks in speech processing', 'Speaker Recognition', 'Nuance Verifier']","[0.7611788213253021, 0.9975644648075104, 0.4619184732437134, 0.7021861374378204, 0.8771668970584869]"
41,deep learning,History,"Many aspects of speech recognition were taken over by a deep learning method called long short-term memory (LSTM), a recurrent neural network published by Hochreiter and Schmidhuber in 1997. LSTM RNNs avoid the vanishing gradient problem and can learn ""Very Deep Learning"" tasks that require memories of events that happened thousands of discrete time steps before, which is important for speech. In 2003, LSTM started to become competitive with traditional speech recognizers on certain tasks. Later it was combined with connectionist temporal classification (CTC) in stacks of LSTM RNNs. In 2015, Google's speech recognition reportedly experienced a dramatic performance jump of 49% through CTC-trained LSTM, which they made available through Google Voice Search.","Many aspects of speech recognition were taken over by a deep learning method called long short-term memory (LSTM), a recurrent neural network published by Hochreiter and Schmidhuber in 1997. LSTM RNNs avoid the vanishing gradient problem and can learn ""Very Deep Learning"" tasks that require memories of events that happened thousands of discrete time steps before, which is important for speech.","In 2003, LSTM started to become competitive with traditional speech recognizers on certain tasks. Later it was combined with connectionist temporal classification (CTC) in stacks of LSTM RNNs. In 2015, Google's speech recognition reportedly experienced a dramatic performance jump of 49% through CTC-trained LSTM, which they made available through Google Voice Search.","[' In what year did LSTM start to become competitive with traditional speech recognizers?', ' What was combined with connectionist temporal classification (CTC)?', "" In 2015, how much did Google's speech recognition experience a performance jump?"", ' What percentage of the respondents were trained in LSTM?', ' What did Google Voice Search make available to the public?']","['2003', 'LSTM', '49%', '49%', 'speech recognition']","[0.9866991937160492, 0.9410401284694672, 0.9943341016769409, 0.4168694168329239, 0.11228388547897339]"
42,deep learning,History,"Deep learning is part of state-of-the-art systems in various disciplines, particularly computer vision and automatic speech recognition (ASR). Results on commonly used evaluation sets such as TIMIT (ASR) and MNIST (image classification), as well as a range of large-vocabulary speech recognition tasks have steadily improved. Convolutional neural networks (CNNs) were superseded for ASR by CTC for LSTM. but are more successful in computer vision.
","Deep learning is part of state-of-the-art systems in various disciplines, particularly computer vision and automatic speech recognition (ASR). Results on commonly used evaluation sets such as TIMIT (ASR) and MNIST (image classification), as well as a range of large-vocabulary speech recognition tasks have steadily improved.",Convolutional neural networks (CNNs) were superseded for ASR by CTC for LSTM. but are more successful in computer vision.,"[' What was superseded for ASR by CTC for LSTM?', ' What are more successful in computer vision?']","['Convolutional neural networks', 'Convolutional neural networks']","[0.5993986129760742, 0.7909227013587952]"
43,deep learning,History,"The 2009 NIPS Workshop on Deep Learning for Speech Recognition was motivated by the limitations of deep generative models of speech, and the possibility that given more capable hardware and large-scale data sets that deep neural nets (DNN) might become practical. It was believed that pre-training DNNs using generative models of deep belief nets (DBN) would overcome the main difficulties of neural nets. However, it was discovered that replacing pre-training with large amounts of training data for straightforward backpropagation when using DNNs with large, context-dependent output layers produced error rates dramatically lower than then-state-of-the-art Gaussian mixture model (GMM)/Hidden Markov Model (HMM) and also than more-advanced generative model-based systems. The nature of the recognition errors produced by the two types of systems was characteristically different, offering technical insights into how to integrate deep learning into the existing highly efficient, run-time speech decoding system deployed by all major speech recognition systems. Analysis around 2009–2010, contrasting the GMM (and other generative speech models) vs. DNN models, stimulated early industrial investment in deep learning for speech recognition, eventually leading to pervasive and dominant use in that industry. That analysis was done with comparable performance (less than 1.5% in error rate) between discriminative DNNs and generative models.","The 2009 NIPS Workshop on Deep Learning for Speech Recognition was motivated by the limitations of deep generative models of speech, and the possibility that given more capable hardware and large-scale data sets that deep neural nets (DNN) might become practical. It was believed that pre-training DNNs using generative models of deep belief nets (DBN) would overcome the main difficulties of neural nets.","However, it was discovered that replacing pre-training with large amounts of training data for straightforward backpropagation when using DNNs with large, context-dependent output layers produced error rates dramatically lower than then-state-of-the-art Gaussian mixture model (GMM)/Hidden Markov Model (HMM) and also than more-advanced generative model-based systems. The nature of the recognition errors produced by the two types of systems was characteristically different, offering technical insights into how to integrate deep learning into the existing highly efficient, run-time speech decoding system deployed by all major speech recognition systems. Analysis around 2009–2010, contrasting the GMM (and other generative speech models) vs. DNN models, stimulated early industrial investment in deep learning for speech recognition, eventually leading to pervasive and dominant use in that industry. That analysis was done with comparable performance (less than 1.5% in error rate) between discriminative DNNs and generative models.","[' What did the DNNs with large, context-dependent output layers produce?', ' What were error rates lower than than the then-state-of-the-art GMM/HMM?', ' What did the two types of systems produce that was characteristically different?', ' What did deep learning offer technical insights into?', ' When was the analysis contrasting?', ' What was the performance of the GMM model compared to the DNN model?', ' What did the early industrial investment in deep learning lead to?', ' What was the error rate between discriminative DNNs and generative models?']","['error rates dramatically lower', 'replacing pre-training with large amounts of training data for straightforward backpropagation when using DNNs with large, context-dependent output layers', 'recognition errors', 'how to integrate deep learning into the existing highly efficient, run-time speech decoding system deployed by all major speech recognition systems', 'around 2009–2010', 'less than 1.5% in error rate', 'pervasive and dominant use', 'less than 1.5%']","[0.7382999062538147, 0.17216164618730545, 0.937615305185318, 0.13677194714546204, 0.3934070020914078, 0.5801672339439392, 0.7157061845064163, 0.6921106576919556]"
44,deep learning,History,"Advances in hardware have driven renewed interest in deep learning. In 2009, Nvidia was involved in what was called the “big bang” of deep learning, “as deep-learning neural networks were trained with Nvidia graphics processing units (GPUs).” That year, Andrew Ng determined that GPUs could increase the speed of deep-learning systems by about 100 times. In particular, GPUs are well-suited for the matrix/vector computations involved in machine learning. GPUs speed up training algorithms by orders of magnitude, reducing running times from weeks to days. Further, specialized hardware and algorithm optimizations can be used for efficient processing of deep learning models.","Advances in hardware have driven renewed interest in deep learning. In 2009, Nvidia was involved in what was called the “big bang” of deep learning, “as deep-learning neural networks were trained with Nvidia graphics processing units (GPUs).” That year, Andrew Ng determined that GPUs could increase the speed of deep-learning systems by about 100 times.","In particular, GPUs are well-suited for the matrix/vector computations involved in machine learning. GPUs speed up training algorithms by orders of magnitude, reducing running times from weeks to days. Further, specialized hardware and algorithm optimizations can be used for efficient processing of deep learning models.","[' What kind of computations are GPUs well suited for?', ' What can GPUs speed up training algorithms by?', ' GPUs reduce running times from weeks to what?', ' Dedicated hardware and algorithm optimizations can be used for what kind of models?']","['matrix/vector', 'orders of magnitude', 'days', 'deep learning']","[0.7626945078372955, 0.9807342886924744, 0.9922324419021606, 0.6848224997520447]"
45,deep learning,Hardware,"Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks that contain many layers of non-linear hidden units and a very large output layer. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI. OpenAI estimated the hardware computation used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of computation required, with a doubling-time trendline of 3.4 months.","Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks that contain many layers of non-linear hidden units and a very large output layer. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI.","OpenAI estimated the hardware computation used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of computation required, with a doubling-time trendline of 3.4 months.","[' OpenAI estimated the amount of computation used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017)?', ' OpenAI found a 300,000-fold increase in what?']","['300,000-fold increase', 'the amount of computation required']","[0.08772065676748753, 0.7733486890792847]"
46,deep learning,Relation to human cognitive and brain development,"Deep learning is closely related to a class of theories of brain development (specifically, neocortical development) proposed by cognitive neuroscientists in the early 1990s. These developmental theories were instantiated in computational models, making them predecessors of deep learning systems. These developmental models share the property that various proposed learning dynamics in the brain (e.g., a wave of nerve growth factor) support the self-organization somewhat analogous to the neural networks utilized in deep learning models. Like the neocortex, neural networks employ a hierarchy of layered filters in which each layer considers information from a prior layer (or the operating environment), and then passes its output (and possibly the original input), to other layers. This process yields a self-organizing stack of transducers, well-tuned to their operating environment. A 1995 description stated, ""...the infant's brain seems to organize itself under the influence of waves of so-called trophic-factors ... different regions of the brain become connected sequentially, with one layer of tissue maturing before another and so on until the whole brain is mature.""","Deep learning is closely related to a class of theories of brain development (specifically, neocortical development) proposed by cognitive neuroscientists in the early 1990s. These developmental theories were instantiated in computational models, making them predecessors of deep learning systems.","These developmental models share the property that various proposed learning dynamics in the brain (e.g., a wave of nerve growth factor) support the self-organization somewhat analogous to the neural networks utilized in deep learning models. Like the neocortex, neural networks employ a hierarchy of layered filters in which each layer considers information from a prior layer (or the operating environment), and then passes its output (and possibly the original input), to other layers. This process yields a self-organizing stack of transducers, well-tuned to their operating environment. A 1995 description stated, ""...the infant's brain seems to organize itself under the influence of waves of so-called trophic-factors ... different regions of the brain become connected sequentially, with one layer of tissue maturing before another and so on until the whole brain is mature.""","[' What do developmental models share with the neocortex?', ' What support the self-organization somewhat analogous to?', ' What does each layer consider from a prior layer or the operating environment?', ' What is the result of the hierarchy of layered filters?', ' What kind of transducers are well-tuned to their operating environment?', "" A 1995 description stated that the infant's brain seems to organize itself under the influence of what?"", ' Before another and so on until the whole brain is mature?']","['various proposed learning dynamics in the brain (e.g., a wave of nerve growth factor) support the self-organization', 'neural networks', 'information', 'a self-organizing stack of transducers', 'self-organizing stack', 'waves of so-called trophic-factors', 'one layer of tissue maturing before another']","[0.19821706414222717, 0.4437757730484009, 0.9903245866298676, 0.6479440629482269, 0.8733814656734467, 0.8236728012561798, 0.4243227243423462]"
47,deep learning,Relation to human cognitive and brain development,"A variety of approaches have been used to investigate the plausibility of deep learning models from a neurobiological perspective. On the one hand, several variants of the backpropagation algorithm have been proposed in order to increase its processing realism. Other researchers have argued that unsupervised forms of deep learning, such as those based on hierarchical generative models and deep belief networks, may be closer to biological reality. In this respect, generative neural network models have been related to neurobiological evidence about sampling-based processing in the cerebral cortex.","A variety of approaches have been used to investigate the plausibility of deep learning models from a neurobiological perspective. On the one hand, several variants of the backpropagation algorithm have been proposed in order to increase its processing realism.","Other researchers have argued that unsupervised forms of deep learning, such as those based on hierarchical generative models and deep belief networks, may be closer to biological reality. In this respect, generative neural network models have been related to neurobiological evidence about sampling-based processing in the cerebral cortex.","[' What are two forms of deep learning based on hierarchical generative models and deep belief networks?', ' What have generative neural network models been related to neurobiological evidence about?']","['unsupervised', 'sampling-based processing in the cerebral cortex']","[0.7205353528261185, 0.827689528465271]"
